"","Number","Weight (N)","Stature (mm)","Head circumference (mm)","Shoulder breadth (mm)","Hand length (mm)","Hand breadth (mm)","Chest circumference (mm)","Waist circumference (mm)","Foot length (mm)","Foot breadth (mm)","Age (months)"
"739",739,398,1371,522,335,154,66,701,665,221,79,112
"740",740,278,1372,510,308,153,64,628,538,223,75,112
"741",741,306,1385,533,345,154,71,677,674,222,82,112
"742",742,400,1405,521,367,148,69,719,690,205,81,112
"743",743,336,1413,536,347,148,67,682,622,222,77,112
"744",744,372,1460,527,356,163,62,706,668,236,85,112
"745",745,265,1232,527,314,130,60,644,679,191,77,113
"746",746,240,1246,498,306,145,65,645,562,198,74,113
"747",747,225,1254,492,290,138,63,586,523,203,78,113
"748",748,277,1264,520,317,143,70,625,562,205,85,113
"749",749,254,1286,509,304,140,64,591,563,206,77,113
"750",750,259,1300,493,327,140,65,642,511,206,73,113
"751",751,325,1312,510,324,144,68,670,630,211,78,113
"752",752,302,1321,531,334,149,66,667,608,205,81,113
"753",753,288,1332,519,308,141,65,659,580,210,78,113
"754",754,266,1356,497,297,140,64,581,558,202,72,113
"755",755,292,1356,538,315,142,62,636,587,212,79,113
"756",756,270,1357,531,294,140,62,644,517,215,78,113
"757",757,264,1364,516,326,146,69,647,534,200,83,113
"758",758,299,1380,497,311,142,62,659,642,209,80,113
"759",759,267,1384,525,346,144,68,683,659,209,72,113
"760",760,319,1388,520,325,152,63,675,653,224,80,113
"761",761,390,1499,535,340,165,77,697,601,254,95,113
"762",762,392,1284,548,359,141,66,720,695,219,90,114
"763",763,261,1306,522,289,138,60,607,552,201,73,114
"764",764,357,1320,535,332,146,64,724,703,197,82,114
"765",765,307,1332,539,331,151,66,671,570,215,84,114
"766",766,298,1343,531,316,141,64,640,571,198,76,114
"767",767,403,1351,550,362,148,69,712,661,220,93,114
"768",768,266,1369,533,285,152,66,610,550,217,82,114
"769",769,407,1373,537,339,150,70,719,735,222,86,114
"770",770,320,1381,498,327,152,63,646,605,218,87,114
"771",771,315,1382,532,319,146,68,674,575,203,82,114
"772",772,415,1415,534,384,147,66,745,684,217,88,114
"773",773,352,1424,550,340,160,71,684,597,228,87,114
"774",774,324,1424,527,332,160,72,684,631,221,83,114
"775",775,331,1435,533,335,163,69,749,653,230,79,114
"776",776,228,1245,488,293,139,70,595,534,201,73,115
"777",777,246,1276,490,306,139,62,603,546,197,77,115
"778",778,265,1302,526,309,167,59,623,576,207,69,115
"779",779,270,1315,513,322,135,60,669,611,203,73,115
"780",780,308,1320,518,316,152,65,667,566,213,76,115
"781",781,311,1329,521,307,137,62,629,618,200,84,115
"782",782,344,1336,531,326,142,62,713,622,209,85,115
"783",783,320,1362,497,334,149,66,685,602,212,75,115
"784",784,469,1504,560,394,170,69,801,746,228,80,115
"785",785,232,1201,494,290,126,56,616,581,179,70,116
"786",786,256,1272,541,320,140,65,620,563,204,81,116
"787",787,344,1282,519,344,151,64,688,655,203,84,116
"788",788,253,1329,514,294,147,63,610,540,214,77,116
"789",789,260,1335,491,319,149,60,614,520,213,80,116
"790",790,327,1341,523,324,136,68,663,598,209,79,116
"791",791,342,1357,540,333,140,65,685,592,196,82,116
"792",792,334,1362,523,340,147,66,667,599,219,76,116
"793",793,309,1389,508,305,147,66,651,620,213,77,116
"794",794,390,1404,517,360,162,73,751,694,236,92,116
"795",795,351,1413,517,334,149,65,671,638,210,81,116
