ID,Name,Sex,Age,Height,Weight,Team,Year,Season,Sport,Medal
1449,Thomas Ahrens,M,16,163,50,Germany,1964,Summer,Rowing,Silver
1466,Matteo Aicardi,M,26,192,102,Italy,2012,Summer,Water Polo,Silver
1466,Matteo Aicardi,M,30,192,102,Italy,2016,Summer,Water Polo,Bronze
1467,Mara Magdalena Aicega Amicarelli,F,26,165,60,Argentina,2000,Summer,Hockey,Silver
1467,Mara Magdalena Aicega Amicarelli,F,30,165,60,Argentina,2004,Summer,Hockey,Bronze
1467,Mara Magdalena Aicega Amicarelli,F,34,165,60,Argentina,2008,Summer,Hockey,Bronze
1478,Rosaria Aiello,F,27,172,74,Italy,2016,Summer,Water Polo,Silver
1481,Hannes Aigner,M,23,183,75,Germany,2012,Summer,Canoeing,Bronze
1483,Nobuyuki Aihara,M,21,154,53,Japan,1956,Summer,Gymnastics,Silver
1483,Nobuyuki Aihara,M,21,154,53,Japan,1956,Summer,Gymnastics,Silver
1483,Nobuyuki Aihara,M,25,154,53,Japan,1960,Summer,Gymnastics,Gold
1483,Nobuyuki Aihara,M,25,154,53,Japan,1960,Summer,Gymnastics,Gold
1485,Yutaka Aihara,M,21,156,55,Japan,1992,Summer,Gymnastics,Bronze
1487,Ryoji Aikawa,M,28,183,85,Japan,2004,Summer,Baseball,Bronze
1498,"Charles Benedict ""Ben"" Ainslie",M,19,183,90,Great Britain,1996,Summer,Sailing,Silver
1498,"Charles Benedict ""Ben"" Ainslie",M,23,183,90,Great Britain,2000,Summer,Sailing,Gold
1498,"Charles Benedict ""Ben"" Ainslie",M,27,183,90,Great Britain,2004,Summer,Sailing,Gold
1498,"Charles Benedict ""Ben"" Ainslie",M,31,183,90,Great Britain,2008,Summer,Sailing,Gold
1498,"Charles Benedict ""Ben"" Ainslie",M,35,183,90,Great Britain,2012,Summer,Sailing,Gold
1500,Kurt Harold Ainsworth,M,22,187,84,United States,2000,Summer,Baseball,Gold
1512,Robin Allingham Aisher,M,34,185,85,Great Britain,1968,Summer,Sailing,Bronze
1534,Brett Aitken,M,21,173,65,Australia,1992,Summer,Cycling,Silver
1534,Brett Aitken,M,25,173,65,Australia,1996,Summer,Cycling,Bronze
1534,Brett Aitken,M,29,173,65,Australia,2000,Summer,Cycling,Gold
1540,Artur Surenovych Aivazian,M,35,177,88,Ukraine,2008,Summer,Shooting,Gold
1546,Eirini Andili,F,17,167,45,Greece,2000,Summer,Rhythmic Gymnastics,Bronze
1551,"Oluwafemi ""Junior"" Ajayi",M,20,172,79,Nigeria,2016,Summer,Football,Bronze
1554,Omar Ajete Iglesias,M,27,175,93,Cuba,1992,Summer,Baseball,Gold
1554,Omar Ajete Iglesias,M,31,175,93,Cuba,1996,Summer,Baseball,Gold
1554,Omar Ajete Iglesias,M,35,175,93,Cuba,2000,Summer,Baseball,Silver
1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",M,23,185,75,Nigeria,2008,Summer,Football,Silver
1561,Mobolade Abimbola Ajomale,M,20,180,62,Canada,2016,Summer,Athletics,Bronze
1564,Chioma Ajunwa (-Opara),F,24,164,57,Nigeria,1996,Summer,Athletics,Gold
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,25,185,81,Great Britain,1984,Summer,Athletics,Silver
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,33,185,81,Great Britain,1992,Summer,Athletics,Bronze
1569,Kriss Kezie Uche Chukwu Duru Akabusi,M,33,185,81,Great Britain,1992,Summer,Athletics,Bronze
1574,Kosei Akaishi,M,19,172,74,Japan,1984,Summer,Wrestling,Silver
1574,Kosei Akaishi,M,27,172,74,Japan,1992,Summer,Wrestling,Bronze
1581,Yuichi Akasaka,M,24,169,64,Japan,1992,Winter,Short Track Speed Skating,Bronze
1601,Vehbi Akda,M,23,168,62,Turkey,1972,Summer,Wrestling,Silver
1622,Michelle Anne Akers,F,30,178,68,United States,1996,Summer,Football,Gold
1634,Taha Akgl,M,25,192,125,Turkey,2016,Summer,Wrestling,Gold
1637,Yelena Rabigovna Akhaminova (-Sokolovskaya),F,18,181,80,Soviet Union,1980,Summer,Volleyball,Gold
1639,Albina Khamitovna Akhatova,F,21,160,55,Russia,1998,Winter,Biathlon,Silver
1639,Albina Khamitovna Akhatova,F,25,160,55,Russia,2002,Winter,Biathlon,Bronze
1639,Albina Khamitovna Akhatova,F,29,160,55,Russia,2006,Winter,Biathlon,Bronze
1639,Albina Khamitovna Akhatova,F,29,160,55,Russia,2006,Winter,Biathlon,Bronze
1639,Albina Khamitovna Akhatova,F,29,160,55,Russia,2006,Winter,Biathlon,Gold
1647,Murodzhon Kakharovich Akhmadaliyev,M,21,165,56,Uzbekistan,2016,Summer,Boxing,Bronze
1649,Artur Kamilevich Akhmatkhuzin,M,28,187,79,Russia,2016,Summer,Fencing,Gold
1650,Bakhtiyar Shakhabutdinovich Akhmedov,M,21,190,120,Russia,2008,Summer,Wrestling,Silver
1652,Lyutvi Dzhiber Akhmedov,M,34,184,87,Bulgaria,1964,Summer,Wrestling,Silver
1654,Leyla Begnyazovna Akhmerova,F,23,160,52,Soviet Union,1980,Summer,Hockey,Bronze
1659,Igor Vladimirovich Akhremchik,M,26,180,79,Soviet Union,1960,Summer,Rowing,Bronze
1662,Gulraiz Akhtar,M,25,172,61,Pakistan,1968,Summer,Hockey,Gold
1665,Naeem Akhtar,M,23,173,65,Pakistan,1984,Summer,Hockey,Gold
1673,John Akii-Bua,M,22,188,77,Uganda,1972,Summer,Athletics,Gold
1676,Anatoly Ivanovich Akimov,M,24,181,84,Soviet Union,1972,Summer,Water Polo,Gold
1678,Vladimir Ivanovich Akimov,M,27,184,80,Soviet Union,1980,Summer,Water Polo,Gold
1682,Morolake Akinosun,F,22,163,61,United States,2016,Summer,Athletics,Gold
1683,Foluke Antinuke Akinradewo,F,24,191,79,United States,2012,Summer,Volleyball,Silver
1683,Foluke Antinuke Akinradewo,F,28,191,79,United States,2016,Summer,Volleyball,Bronze
1698,Khadzhimurat Magomedovich Akkayev,M,19,178,105,Russia,2004,Summer,Weightlifting,Silver
