title,series,author,rating,language,genres,pages,publisher,publish year,numRatings,likedPercent,price
Gaudy Night,Lord Peter Wimsey #10,Dorothy L. Sayers,4.23,English,"['Mystery', 'Fiction', 'Crime', 'Classics', 'Romance', 'Mystery Thriller', 'British Literature', 'Detective', 'Historical Fiction', '20th Century']",501,HarperTorch,1995,23369,95,2.4
Take My Heart,,J.J. Sorel (Goodreads Author),4.34,English,"['Book Club', 'Contemporary', 'Novels', 'Fiction', 'Drama', 'Erotica']",289,self,2019,308,96,
Seduced in the Dark,The Dark Duet #2,C.J. Roberts (Goodreads Author),4.29,English,"['Dark', 'Romance', 'BDSM', 'Erotica', 'Adult', 'Abuse', 'Contemporary', 'Contemporary Romance', 'Erotic Romance', 'New Adult']",505,Neurotica Books,2012,53382,94,
Sunshine,,Robin McKinley,3.85,English,"['Vampires', 'Urban Fantasy', 'Fantasy', 'Paranormal', 'Fiction', 'Horror', 'Young Adult', 'Romance', 'Supernatural', 'Adult']",405,Jove,2004,37449,88,3.1
A Gentleman in Moscow,,Amor Towles (Goodreads Author),4.34,English,"['Historical Fiction', 'Fiction', 'Russia', 'Historical', 'Audiobook', 'Book Club', 'Literary Fiction', 'Novels', 'Adult Fiction', 'Adult']",462,Penguin Books,2019,293330,96,6.29
One Thousand White Women: The Journals of May Dodd,One Thousand White Women #1,Jim Fergus (Goodreads Author),3.88,English,"['Historical Fiction', 'Fiction', 'Historical', 'Book Club', 'Westerns', 'Adult', 'Adult Fiction', 'Audiobook', 'Adventure', '19th Century']",434,St. Martin's Griffin,1999,114179,90,3.64
The Executioner's Song,,Norman Mailer,4.07,English,"['Nonfiction', 'True Crime', 'Crime', 'Biography', 'Classics', 'History', 'Literature', 'Mystery', 'American', 'Journalism']",1056,Vintage Books USA,1998,18412,94,9.17
The Naming,The Books of Pellinor #1,Alison Croggon (Goodreads Author),4.01,English,"['Fantasy', 'Young Adult', 'Fiction', 'Magic', 'High Fantasy', 'Young Adult Fantasy', 'Adventure', 'Epic Fantasy', 'Teen', 'Science Fiction Fantasy']",492,Candlewick Press,2006,24255,92,4.43
Bitterblue,Graceling Realm #3,Kristin Cashore,3.99,English,"['Fantasy', 'Young Adult', 'Romance', 'Fiction', 'Young Adult Fantasy', 'High Fantasy', 'Magic', 'Adventure', 'Teen', 'Mystery']",576,Dial,2012,101284,92,4.97
The Talented Mr. Ripley,Ripley #1,Patricia Highsmith,3.93,English,"['Fiction', 'Mystery', 'Thriller', 'Crime', 'Classics', 'Suspense', 'Mystery Thriller', 'Novels', 'Drama', 'Italy']",320,W. W. Norton Company,2008,61428,93,9.12
Spells,Wings #2,Aprilynne Pike,3.98,English,"['Fantasy', 'Young Adult', 'Romance', 'Paranormal', 'Fairies', 'Fae', 'Magic', 'Fiction', 'Urban Fantasy', 'Paranormal Romance']",359,HarperTeen,2010,39173,93,1.64
Horton Hears a Who!,Horton the Elephant,Dr. Seuss,4.18,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Animals', 'Kids', 'Humor', 'Juvenile']",64,Random House Books for Young Readers,1990,96796,95,5.26
Vampire Princess Rising,The Winters Family Saga #2,Jami Brumfield (Goodreads Author),4.31,English,"['Vampires', 'Witches', 'Angels', 'Werewolves', 'Paranormal', 'Magic', 'Paranormal Romance', 'Supernatural', 'Shapeshifters', 'Demons']",326,Beau Coup Publishing llc,2014,231,94,
The Gulag Archipelago 1918–1956,The Gulag Archipelago 1918-1956 #1-7,"Aleksandr Solzhenitsyn, Edward E. Ericson Jr. (Introduction)",4.27,English,"['History', 'Nonfiction', 'Russia', 'Classics', 'Politics', 'Biography', 'Russian Literature', 'Memoir', 'Literature', 'Historical']",472,HarperCollins,2002,20132,96,15.01
First Drop of Crimson,Night Huntress World #1,Jeaniene Frost (Goodreads Author),4.15,English,"['Vampires', 'Paranormal', 'Paranormal Romance', 'Romance', 'Urban Fantasy', 'Fantasy', 'Adult', 'Demons', 'Supernatural', 'Fiction']",371,Avon Books,2010,52870,95,2.86
Leaving Paradise,Leaving Paradise #1,Simone Elkeles (Goodreads Author),4,English,"['Young Adult', 'Romance', 'Contemporary', 'Realistic Fiction', 'Fiction', 'Young Adult Romance', 'Chick Lit', 'Contemporary Romance', 'High School', 'Teen']",303,Flux,2007,41345,92,1.45
Porno,Mark Renton #3,Irvine Welsh,3.75,Spanish,"['Fiction', 'Contemporary', 'Dark', 'Thriller', 'Novels', 'Crime', 'Mystery', 'Scotland', 'Drama', 'British Literature']",600,Anagrama,2006,21952,90,5.71
The Great Alone,,Kristin Hannah (Goodreads Author),4.34,English,"['Fiction', 'Historical Fiction', 'Audiobook', 'Historical', 'Adult', 'Adult Fiction', 'Romance', 'Book Club', 'Contemporary', 'Family']",435,St. Martin's Press,2018,376638,97,
When Nietzsche Wept,,Irvin D. Yalom,4.33,English,"['Psychology', 'Fiction', 'Philosophy', 'Historical Fiction', 'Novels', 'Literature', 'American', 'Historical', 'Roman', 'Contemporary']",310,Harper Perennial,2005,46494,97,4.21
Seraphina,Seraphina #1,Rachel Hartman (Goodreads Author),3.94,English,"['Fantasy', 'Young Adult', 'Dragons', 'Romance', 'Fiction', 'Young Adult Fantasy', 'High Fantasy', 'Adventure', 'Mystery', 'Magic']",499,Random House Books for Young Readers,1905,79798,91,
Cold Comfort Farm,,"Stella Gibbons, Lynne Truss (Introduction), Roz Chast (Illustrations)",3.91,English,"['Fiction', 'Classics', 'Humor', 'British Literature', 'Historical Fiction', 'Comedy', '20th Century', 'Novels', 'Literature', 'Historical']",233,Penguin Classics,2006,41654,92,5.91
The Wicked King,The Folk of the Air #2,Holly Black (Goodreads Author),4.39,English,"['Fantasy', 'Young Adult', 'Romance', 'Fae', 'Young Adult Fantasy', 'Fiction', 'Magic', 'Audiobook', 'Fairies', 'Urban Fantasy']",336,"Little, Brown Books for Young Readers",2019,138343,97,
The Andromeda Strain,Andromeda #1,Michael Crichton,3.9,English,"['Science Fiction', 'Fiction', 'Thriller', 'Mystery', 'Science Fiction Fantasy', 'Suspense', 'Horror', 'Novels', 'Classics', 'Adventure']",327,Avon Books,2003,223312,94,4.52
The Sneetches and Other Stories,,Dr. Seuss,4.31,English,"['Childrens', 'Picture Books', 'Fiction', 'Classics', 'Poetry', 'Fantasy', 'Humor', 'Kids', 'Short Stories', 'Juvenile']",65,HarperCollins Publishers,2003,63443,96,1.79
At Swim-Two-Birds,,"Flann O'Brien, William H. Gass (Introduction)",3.89,English,"['Fiction', 'Classics', 'Irish Literature', 'Ireland', 'Literature', 'Novels', 'Humor', '20th Century', 'Fantasy', 'Literary Fiction']",239,Dalkey Archive Press,1998,11481,89,
Incarceron,Incarceron #1,Catherine Fisher,3.64,English,"['Fantasy', 'Young Adult', 'Dystopia', 'Science Fiction', 'Steampunk', 'Fiction', 'Adventure', 'Teen', 'Young Adult Fantasy', 'Mystery']",458,Hodder Children's Books,2007,57320,86,3.79
Quicksilver,The Baroque Cycle #1,Neal Stephenson (Goodreads Author),3.92,English,"['Fiction', 'Historical Fiction', 'Science Fiction', 'Fantasy', 'Historical', 'Science Fiction Fantasy', 'Alternate History', 'Speculative Fiction', 'Adventure', 'Novels']",927,HarperCollins Perennial,2004,36267,89,4.46
Circus of the Damned,"Anita Blake, Vampire Hunter #3",Laurell K. Hamilton (Goodreads Author),4.16,English,"['Urban Fantasy', 'Vampires', 'Paranormal', 'Fantasy', 'Horror', 'Romance', 'Paranormal Romance', 'Fiction', 'Supernatural', 'Mystery']",320,Berkley,2007,88160,96,2.53
Om Chanting and Meditation,,Amit Ray,3.7,English,"['Spirituality', 'Self Help', 'Inspirational', 'Religion', 'Nonfiction']",113,Inner Light Publishers,2010,1044,77,
Wyrd Sisters,Discworld #6,Terry Pratchett,4.12,English,"['Fantasy', 'Fiction', 'Humor', 'Comedy', 'Science Fiction Fantasy', 'Witches', 'Magic', 'Audiobook', 'Science Fiction', 'High Fantasy']",265,Hartorch,2001,93669,96,6.99
Batman: The Killing Joke,Batman: One-Shots,"Alan Moore (Goodreads Author), Brian Bolland (Illustrator), Tim Sale (Introduction)",4.37,English,"['Comics', 'Graphic Novels', 'Batman', 'Fiction', 'Graphic Novels Comics', 'Comic Book', 'Dc Comics', 'Superheroes', 'Crime', 'Fantasy']",50,DC Comics,1995,169565,97,11.33
Maybe Someday,Maybe #1,Colleen Hoover (Goodreads Author),4.27,English,"['Romance', 'New Adult', 'Contemporary', 'Young Adult', 'Contemporary Romance', 'Fiction', 'Music', 'Chick Lit', 'College', 'Audiobook']",385,Atria Books,2014,169007,95,
Five Feet Apart,,"Rachael Lippincott (Goodreads Author), Mikki Daughtry (Goodreads Author) (Contributor), Tobias Iaconis (Goodreads Author) (Contributor), فاطمه صبحی (translator)",4.19,English,"['Young Adult', 'Romance', 'Contemporary', 'Fiction', 'Audiobook', 'Realistic Fiction', 'Young Adult Contemporary', 'Young Adult Romance', 'Teen', 'Illness']",288,Simon & Schuster Books for Young Readers,2018,82742,95,
Prey,,Michael Crichton,3.76,English,"['Fiction', 'Science Fiction', 'Thriller', 'Horror', 'Suspense', 'Mystery', 'Science Fiction Fantasy', 'Adventure', 'Novels', 'Audiobook']",507,Avon,1905,164483,90,0.85
